LV,NODE,L1,DATA_TIME,U,IR,IX
1,354019022839,A,2019-04-19 19:15:00,227.6714286,-17.23380458,34.26387579
1,354010389385,A,2019-04-18 11:30:00,228.48,2.629582161,-0.671880908
1,354019022839,A,2019-04-19 10:00:00,229.8,-3.960687194,9.143524907
1,354013332709,A,2019-04-19 10:30:00,228.85,-16.74244155,35.22548622
1,354013332709,A,2019-04-20 21:45:00,226.6833333,43.14717432,17.02824802
1,354010389388,A,2019-04-20 16:15:00,227.9,19.83087692,7.581308943
1,354010389388,A,2019-04-20 08:15:00,228.825,18.79205242,1.370206778
1,354010389382,A,2019-04-20 12:15:00,226.6,97.93658569,33.63409927
1,354010389382,A,2019-04-19 05:00:00,230.52,38.91206337,27.85132032
1,354019022839,A,2019-04-20 01:15:00,230.0857143,-1.35063405,-3.60192149
1,354010389385,A,2019-04-19 21:15:00,228.38,-3.139992002,-6.779409441
1,354013332709,A,2019-04-20 21:15:00,226.35,22.02691553,20.31570367
1,354010389384,A,2019-04-20 02:00:00,230.3,0.038044923,0.383327347
1,354010389385,A,2019-04-19 10:15:00,229.48,1.317808486,0.575495022
1,354013332709,A,2019-04-20 02:15:00,230.1666667,17.20006817,-6.418242606
1,354010389382,A,2019-04-20 22:30:00,228.76,29.11601136,27.00408846
1,354010389388,A,2019-04-18 14:45:00,229.5,2.972016689,11.0665611
1,354010389382,A,2019-04-20 07:45:00,229.36,19.05990437,23.07600075
1,354019022839,A,2019-04-20 23:45:00,230.5428571,5.571903041,4.44884961
1,354019022842,A,2019-04-18 18:30:00,228.9,0,0
1,354013332709,A,2019-04-19 16:15:00,227.75,29.92175362,8.405225761
1,354010389381,A,2019-04-19 05:00:00,231.3857143,0.814596318,-2.138579241
1,354010389381,A,2019-04-19 17:00:00,229,-1.311055121,-6.051508769
1,354010389383,A,2019-04-18 07:30:00,229.6714286,8.377029996,-12.78576816
1,354010389382,A,2019-04-18 23:30:00,229.08,25.78290729,35.74985304
1,354019022842,A,2019-04-18 17:15:00,229,0,0
1,354019022839,A,2019-04-20 12:00:00,228.1142857,30.03778241,8.90827238
1,354013332709,A,2019-04-19 13:00:00,228.85,-2.673367508,-10.07208064
1,354010389381,A,2019-04-19 05:45:00,229.8428571,-2.906265469,5.756496759
1,354010389386,A,2019-04-20 22:00:00,228.2,-4.916044738,-1.885389791
1,354010389385,A,2019-04-18 02:45:00,231.52,24.93227044,-0.77890514
1,354019022839,A,2019-04-20 11:15:00,228.0714286,20.98956798,7.495448693
1,354019022839,A,2019-04-19 17:00:00,228.9714286,5.887495032,19.09318826
1,354010389381,A,2019-04-19 21:15:00,227.3714286,34.00416013,22.18471554
1,354013332709,A,2019-04-19 01:45:00,230.4833333,30.49027506,-10.80119561
1,354019022843,A,2019-04-19 03:30:00,231.25,11.58509198,0.555402497
1,354019022843,A,2019-04-20 07:45:00,230,8.316504246,0.436336878
1,354010389386,A,2019-04-18 16:30:00,229.12,0.63178673,9.316840602
1,354010389386,A,2019-04-20 01:00:00,229.36,8.237079516,1.028259271
1,354019022839,A,2019-04-19 20:15:00,227.2714286,31.84950572,3.544166026
1,354013332709,A,2019-04-19 17:45:00,227.0666667,42.45187702,21.00289884
1,354010389385,A,2019-04-20 01:45:00,230.06,26.77142986,-10.65989475
1,354010389382,A,2019-04-20 19:00:00,225.94,73.74388949,31.26570169
1,354019022843,A,2019-04-18 03:30:00,231.85,8.531831703,1.167652616
1,354019022839,A,2019-04-19 09:00:00,229.9142857,16.85288373,-2.258625137
1,354010389383,A,2019-04-18 09:30:00,229.7714286,2.73459824,-0.991806542
1,354010389385,A,2019-04-20 18:30:00,227.38,-4.014876824,-6.364511955
1,354010389381,A,2019-04-19 22:30:00,229.1571429,2.145383709,12.32780221
1,354010389383,A,2019-04-20 06:45:00,230.1285714,-16.13145499,-3.638272841
1,354010389385,A,2019-04-18 19:00:00,228.1,30.78474029,5.226401103
1,354010389383,A,2019-04-18 12:45:00,228.7142857,12.26353652,5.063979503
1,354010389385,A,2019-04-19 05:30:00,230.4,3.060435448,-1.464530955
1,354010389388,A,2019-04-18 09:30:00,229.175,-10.17923735,16.11832136
1,354010389383,A,2019-04-20 18:30:00,227.2428571,3.505533927,-26.68402431
1,354010389382,A,2019-04-20 19:15:00,225.64,74.01069487,31.53898267
1,354010389381,A,2019-04-18 05:30:00,230.7714286,17.9554764,4.342606433
1,354019022839,A,2019-04-18 12:15:00,228.6857143,-18.73412576,19.78660672
1,354010389383,A,2019-04-19 13:30:00,229.4142857,0.394007083,-3.144134167
1,354010389383,A,2019-04-20 01:30:00,230.1285714,-0.531676244,-2.505789478
